stazione,temperatura_media_C,quota_m
Naples,26.42,89.6
Boccadifalco,25.65,105.2
Marina Di Ginosa,24.61,12.0
Messina,24.5,51.0
Cozzo Spadaro,24.32,51.0
Decimomannu,24.2,30.5
Sigonella,23.92,24.7
Ustica Island,23.64,251.0
Rivolto,23.61,54.6
Brindisi,23.48,10.0
Santa Maria Di Leuc,23.45,112.0
Ghedi,23.36,101.5
Verona Villafranca,23.27,68.0
Cameri,23.23,178.6
Trapani Birgi,23.16,7.3
Istrana,23.09,41.8
Roma Ciampino,23.01,105.0
Grazzanise,22.77,8.8
Rimini,22.7,12.5
Grosseto,22.62,4.6
Ponza Island,22.4,185.0
Cervia,22.35,5.5
Pratica Di Mare,22.31,12.5
Vigna Di Valle,22.17,266.0
Frontone,22.06,574.0
Pisa,21.7,1.8
Enna,21.65,965.0
Campobasso,20.62,807.0
Monte S. Angelo,19.51,844.0
Torino Bric Croce,19.4,710.0
Dobbiaco,16.47,1226.0
Monte Scuro,14.9,1677.0
S. Valentino Alla Muta,13.67,1461.0
Terminillo Mountain,12.61,1875.0
Monte Cimone,10.39,2165.0
Paganella,9.77,2125.0
Col Du Grand St Bernard,6.89,2472.0
Pian Rosa Mtn Top,0.73,3488.0
