id,name,latitude,longitude,elevation,elevationUnit,mindate,maxdate,datacoverage,wmo,gsn,hcn
ITE00100550,Bologna,44.5,11.3458,53.0,METERS,1813-01-01,2007-12-31,1.0,,,
ITE00100552,Genoa,44.4144,8.9264,55.0,METERS,1833-01-01,2008-12-31,1.0,,,
ITE00155357,Marienberg,46.705,10.52,1335.0,METERS,1893-01-01,1913-12-31,0.9999,,,
ITE00155347,Cortina,46.535,12.14,1224.0,METERS,1895-10-01,1913-12-31,0.9998,,,
ITE00155360,Mitterkaser,46.755,10.945,1800.0,METERS,1895-08-01,1909-12-31,0.9998,,,
ITE00155371,Rolle,46.295,11.79,1984.0,METERS,1894-06-01,1913-12-31,0.9997,,,
ITE00155369,Rein,46.95,12.065,1600.0,METERS,1894-07-01,1907-12-31,0.9996,,,
ITE00155372,Rovereto,45.895,11.045,211.0,METERS,1893-01-01,1911-12-31,0.9996,,,
ITE00155342,Brixen,46.715,11.655,594.0,METERS,1893-01-01,1913-12-31,0.9995,,,
ITE00155366,Predazzo,43.31,11.6,1020.0,METERS,1895-10-01,1913-12-31,0.9992,,,
ITE00155383,Tione,46.035,10.725,561.0,METERS,1895-10-01,1912-12-31,0.999,,,
SIE00115206,Ratece Planica,46.5,13.7,864.0,METERS,1960-12-31,2023-09-30,0.999,,,
ITE00100554,Milan,45.4717,9.1892,150.0,METERS,1763-01-01,2008-12-01,0.9986,,,
SIE00115106,Bilje,45.9,13.6,55.0,METERS,1991-12-31,2023-09-30,0.9965,,,
ITE00155379,St.Helena,46.58,11.055,1536.0,METERS,1898-01-01,1913-12-31,0.9964,,,
ITE00115588,Padova,45.3983,11.8803,12.0,METERS,1995-01-01,2008-12-31,0.9959,,,
ITE00115584,Pesaro,43.9108,12.9042,11.0,METERS,1871-01-01,2008-12-31,0.9957,,,
ITE00155385,Trient,46.07,11.125,210.0,METERS,1893-01-01,1913-12-31,0.9944,,,
ITW00034187,Aviano,46.03333,12.6,128.0,METERS,1955-11-14,1967-12-31,0.991,,,
ITM00016148,Cervia,44.224,12.307,5.5,METERS,1973-01-01,2025-08-24,0.9841,16148,,
ITM00016033,Dobbiaco,46.733,12.217,1226.0,METERS,1973-01-01,2025-08-24,0.9581,16033,,
ITM00016429,Trapani Birgi,37.911,12.488,7.3,METERS,1965-04-29,2025-08-24,0.9571,16429,,
ITM00016480,Cozzo Spadaro,36.683,15.133,51.0,METERS,1966-01-01,2025-08-24,0.9569,16480,,
ITM00016325,Marina Di Ginosa,40.433,16.883,12.0,METERS,1967-03-18,2025-08-24,0.9485,16325,,
ITE00155343,Campitello,46.475,11.74,1442.0,METERS,1895-10-01,1913-12-31,0.9466,,,
ITM00016360,Santa Maria Di Leuc,39.817,18.35,112.0,METERS,1965-05-06,2025-08-24,0.9463,16360,,
ITE00155352,Kastelruth,46.57,11.56,1095.0,METERS,1893-01-01,1910-12-31,0.9443,,,
ITE00100553,Mantova,45.1581,10.7967,46.0,METERS,1840-04-01,2008-12-31,0.9439,,,
IT000162580,Monte S. Angelo,41.7,15.95,844.0,METERS,1951-11-07,2025-08-24,0.9433,16258,GSN,
ITE00155376,S.Felice,46.11,11.32,1122.0,METERS,1895-10-01,1913-12-31,0.9433,,,
ITE00155373,Sand,46.92,11.95,890.0,METERS,1895-11-01,1912-12-31,0.9416,,,
IT000162240,Vigna Di Valle,42.0828,12.2167,266.0,METERS,1954-10-02,2025-08-24,0.9415,16224,GSN,
ITM00016280,Ponza Island,40.917,12.95,185.0,METERS,1965-04-28,2025-06-18,0.9414,16280,,
ITE00155346,Condino,45.89,10.6,42.0,METERS,1895-10-01,1912-12-31,0.9399,,,
ITE00155351,Jenesien,46.535,11.33,1080.0,METERS,1893-01-01,1910-12-31,0.935,,,
ITE00155354,Lavis,46.14,11.11,238.0,METERS,1895-10-09,1910-12-31,0.9344,,,
ITE00155362,Muehlwald,46.89,11.86,1230.0,METERS,1895-08-01,1913-12-31,0.934,,,
ITM00016008,S. Valentino Alla Muta,46.75,10.533,1461.0,METERS,1967-01-21,2025-08-24,0.9332,16008,,
ITM00016252,Campobasso,41.567,14.65,807.0,METERS,1965-05-01,2025-08-20,0.9284,16252,,
ITM00016061,Torino Bric Croce,45.033,7.733,710.0,METERS,1973-05-06,2025-08-24,0.921,16061,,
ITM00016098,Istrana,45.685,12.083,41.8,METERS,1966-09-24,2025-08-24,0.9179,16098,,
ITM00016179,Frontone,43.517,12.733,574.0,METERS,1973-07-17,2025-08-24,0.9144,16179,,
ITM00016245,Pratica Di Mare,41.659,12.445,12.5,METERS,1966-09-28,2025-08-24,0.907,16245,,
IT000016239,Roma Ciampino,41.7831,12.5831,105.0,METERS,1951-01-01,2025-08-24,0.9065,16239,,
ITM00016546,Decimomannu,39.354,8.972,30.5,METERS,1966-09-23,2025-08-24,0.906,16546,,
IT000160220,Paganella,46.15,11.0331,2125.0,METERS,1951-01-01,2025-08-04,0.9046,16022,GSN,
ITE00155337,Altrei,46.28,11.365,1209.0,METERS,1893-01-01,1913-12-31,0.9004,,,
ITE00155384,Toblach,46.735,12.225,1250.0,METERS,1893-01-01,1913-12-31,0.8988,,,
ITE00100551,Ferrara,44.8325,11.6208,15.0,METERS,1879-01-01,2007-12-31,0.8928,,,
ITE00155339,Antholz,46.86,12.1,1236.0,METERS,1895-08-01,1913-12-31,0.8913,,,
ITE00155358,Mendel,46.42,11.205,1360.0,METERS,1893-01-01,1913-12-31,0.8885,,,
ITM00016420,Messina,38.2,15.55,51.0,METERS,1957-07-01,2025-08-24,0.8861,16420,,
ITE00155341,Bezzecca,45.895,10.72,698.0,METERS,1895-10-01,1912-12-31,0.8832,,,
ITE00155355,Madonna Di Campiglio,46.23,10.825,1511.0,METERS,1895-12-01,1913-12-31,0.8812,,,
ITE00155353,Kematen,46.96,11.545,1444.0,METERS,1897-01-01,1913-12-31,0.8792,,,
ITE00155363,Paneveggio,46.31,11.75,1520.0,METERS,1893-01-01,1913-10-26,0.8777,,,
ITM00016088,Ghedi,45.432,10.268,101.5,METERS,1966-09-27,2025-08-24,0.8738,16088,,
ITE00155349,Gand,46.555,10.78,1300.0,METERS,1897-01-01,1912-12-31,0.8727,,,
IT000016090,Verona Villafranca,45.3831,10.8667,68.0,METERS,1945-05-18,2025-08-24,0.8676,16090,,
ITE00155359,Mezzolombardo,46.215,11.095,215.0,METERS,1895-09-27,1910-12-31,0.8676,,,
ITE00155381,St.Nikolaus Bei Kaltern,46.42,11.235,568.0,METERS,1893-01-01,1906-12-31,0.8572,,,
IT000016320,Brindisi,40.6331,17.9331,10.0,METERS,1943-11-30,2025-08-24,0.8511,16320,,
IT000016134,Monte Cimone,44.2,10.7,2165.0,METERS,1951-01-01,2025-08-24,0.8463,16134,GSN,
ITM00016400,Ustica Island,38.7,13.183,251.0,METERS,1957-07-01,2025-08-24,0.8455,16400,,
ITE00155378,St.Cassian,46.57,11.935,1526.0,METERS,1895-08-01,1913-12-31,0.8365,,,
ITE00155377,S.Martino Di Castrozza,46.26,11.8,1465.0,METERS,1895-08-01,1913-12-31,0.8353,,,
ITE00155350,Gossensass,46.94,11.445,1082.0,METERS,1893-01-01,1912-12-31,0.8291,,,
ITE00105250,Palermo,38.1103,13.3514,37.0,METERS,1797-01-01,2008-12-31,0.8284,,,
ITE00155361,Mittewald,46.805,11.575,795.0,METERS,1895-08-01,1913-12-31,0.8273,,,
ITE00155338,Andraz,46.485,11.985,1428.0,METERS,1895-12-01,1912-12-31,0.8239,,,
ITM00016219,Terminillo Mountain,42.467,12.983,1875.0,METERS,1965-04-28,2025-08-24,0.8147,16219,,
ITE00155382,St.Veit In Prags,46.715,12.105,1360.0,METERS,1895-08-01,1912-12-31,0.807,,,
ITE00155340,Arco,45.92,10.885,100.0,METERS,1893-01-01,1913-12-31,0.8068,,,
ITM00016064,Cameri,45.53,8.669,178.6,METERS,1966-09-24,2025-08-24,0.7879,16064,,
ITM00016158,Pisa,43.684,10.393,1.8,METERS,1944-11-24,2025-08-24,0.7855,16158,,
ITE00155368,Radein,46.345,11.4,1562.0,METERS,1893-01-01,1913-12-31,0.7848,,,
ITE00155374,S.Bernardo,46.4,10.845,1089.0,METERS,1895-10-01,1913-12-31,0.7787,,,
ITE00155380,St.Martin In Thurn,46.68,11.9,1117.0,METERS,1895-08-01,1913-12-31,0.7781,,,
ITE00155356,Male,46.35,10.915,737.0,METERS,1895-10-01,1912-12-31,0.7667,,,
ITE00155348,Fondo,46.44,11.135,98.0,METERS,1895-10-01,1912-12-31,0.7659,,,
ITM00016206,Grosseto,42.76,11.072,4.6,METERS,1944-12-11,2025-08-24,0.7347,16206,,
ITE00155367,Proveis,46.475,11.02,1410.0,METERS,1895-08-01,1913-12-31,0.7269,,,
ITE00155364,Pedross,46.815,10.58,1674.0,METERS,1895-08-06,1913-12-31,0.723,,,
SZ000006717,Col Du Grand St Bernard,45.8667,7.1667,2472.0,METERS,1864-01-01,2026-06-30,0.7178,,,
ITE00155336,Ala,45.755,11.0,190.0,METERS,1893-01-01,1913-12-31,0.7139,,,
ITW00033126,Sigonella,37.40166,14.92235,24.7,METERS,1943-08-11,2026-06-30,0.7087,16459,,
ITM00016052,Pian Rosa Mtn Top,45.933,7.7,3488.0,METERS,1965-04-28,2025-08-21,0.7046,16052,,
ITE00155365,Pejo,46.36,10.67,1580.0,METERS,1893-01-01,1913-10-31,0.6841,,,
ITM00016045,Rivolto,45.979,13.049,54.6,METERS,1958-04-14,2025-08-24,0.6811,16045,,
ITM00016344,Monte Scuro,39.333,16.4,1677.0,METERS,1974-10-15,2026-07-01,0.6733,16344,,
ITE00155345,Cogne,45.6175,7.3567,1785.0,METERS,1895-10-08,1913-12-31,0.6687,,,
ITM00016149,Rimini,44.02,12.612,12.5,METERS,1945-04-08,2025-08-24,0.6639,16149,,
ITM00016253,Grazzanise,41.061,14.082,8.8,METERS,1944-04-01,2025-08-24,0.6326,16253,,
ITE00155344,Castel Tesino,46.065,11.635,891.0,METERS,1895-10-01,1913-12-31,0.6151,,,
ITE00155370,Riva,45.885,10.84,84.0,METERS,1874-01-01,1969-05-10,0.6,,,
ITE00155375,Schlanders,46.63,10.775,700.0,METERS,1895-08-01,1913-12-31,0.5653,,,
ITM00016450,Enna,37.567,14.283,965.0,METERS,1973-08-09,2025-08-24,0.5251,16450,,
ITW00034194,Verona,45.46667,10.93333,93.3,METERS,1960-04-01,1967-12-29,0.4252,,,
ITM00016410,Boccadifalco,38.111,13.313,105.2,METERS,1943-08-07,2009-01-11,0.354,16410,,
